city,checkin_date,checkout_date,scrape_timestamp,lead_time_days,is_weekend,hotel_name,hotel_url,hotel_id,price_net,log_price,price_original,discount_pct,taxes_and_charges,star_rating,review_score_overall,review_count,review_score_label,distance_to_center_km,neighborhood,breakfast_included,free_cancellation,is_beachfront,has_free_wifi,has_swimming_pool,has_parking,has_air_conditioning,rooms_left_warning,sustainability_level,property_type,score_cleanliness,score_staff,score_facilities,score_comfort,score_value,score_location,score_wifi,has_spa,has_fitness_center,has_restaurant,has_bar,has_airport_shuttle,has_24h_front_desk,pets_allowed,photo_count,full_address,latitude,longitude
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,"Atlantis, The Palm",https://www.booking.com/hotel/ae/atlantis-the-palm.html,atlantis-the-palm,579.0,6.3613,579.0,0.0,136.0,5.0,9.2,19084,Wonderful,17.3,"Palm Jumeirah, Dubai (Beach & Coast)",0,1,0,0,0,0,1,0,None,Hotel,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,25hours Hotel Dubai One Central,https://www.booking.com/hotel/ae/25hours-dubai-one-central.html,25hours-dubai-one-central,204.0,5.3181,204.0,0.0,51.0,5.0,8.4,3673,Very Good,2.9,"Trade Center Area, Dubai (Sheikh Zayed Road)",0,1,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Vida Emirates Hills,https://www.booking.com/hotel/ae/vida-the-hills.html,vida-the-hills,138.0,4.9273,138.0,0.0,35.0,4.0,8.8,1405,Standard,17.4,Dubai,0,1,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,"Emirates Hills, Dubai, United Arab Emirates, Dubai, United Arab Emirates",,
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Vida Creek Harbour,https://www.booking.com/hotel/ae/vida-harbour-point.html,vida-harbour-point,147.0,4.9904,147.0,0.0,37.0,4.0,9.0,5061,Wonderful,7.3,"Dubai Creek, Dubai (Dubai Creek)",0,1,0,0,0,0,0,0,None,Hotel,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Address Creek Harbour,https://www.booking.com/hotel/ae/address-grand-creek-harbour.html,address-grand-creek-harbour,261.0,5.5645,261.0,0.0,64.0,5.0,9.0,3381,Wonderful,7.3,"Dubai Creek, Dubai (Dubai Creek)",0,1,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Dubai Creek Harbour, Dubai, United Arab Emirates",25.20944899,55.343955
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Mercure Dubai Gold District,https://www.booking.com/hotel/ae/days-by-wyndham-dubai-deira.html,days-by-wyndham-dubai-deira,75.0,4.3175,75.0,0.0,20.0,3.0,8.3,3851,Very Good,9.4,"Beach & Coast, Dubai (Deira)",0,0,0,0,0,0,1,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"One Deira Plaza Gold Souk Metro Station Al Corniche - 111 , 119303 Dubai, United Arab Emirates",25.27578857,55.30132975
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Grand Bellevue Hotel Apartment Dubai,https://www.booking.com/hotel/ae/grand-belle-vue-apartment-dubai.html,grand-belle-vue-apartment-dubai,70.0,4.2485,70.0,0.0,21.0,4.0,7.3,501,Good,14.8,"Barsha Heights (Tecom) , Dubai",0,1,0,0,0,0,0,0,None,Apartment,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Tecom, Barsha Heights (Tecom) , Dubai, United Arab Emirates",25.09456721,55.1757592
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,LEGOLAND Hotel Dubai,https://www.booking.com/hotel/ae/legoland-dubai.html,legoland-dubai,107.0,4.6728,107.0,0.0,41.0,4.0,7.9,6625,Good,40.7,"Dubai World Central, Dubai",1,1,0,0,0,0,1,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Dubai Parks and Resorts, Dubai World Central, Dubai, United Arab Emirates",24.91754366,55.00938537
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Premier Inn Dubai Silicon Oasis - An Emirates Group Company,https://www.booking.com/hotel/ae/premier-inn-dubai-silicon-oasis.html,premier-inn-dubai-silicon-oasis,53.0,3.9703,53.0,0.0,15.0,3.0,8.5,4044,Very Good,13.0,"Dubai Silicon Oasis, Dubai",0,0,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Dubai Silicon Oasis, Dubai Silicon Oasis, Dubai, United Arab Emirates",25.12290588,55.37438214
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Citymax Hotel Al Barsha at the Mall,https://www.booking.com/hotel/ae/citymax-al-barsha.html,citymax-al-barsha,123.0,4.8122,123.0,0.0,30.0,3.0,8.1,6897,Very Good,11.2,"Al Barsha, Dubai",0,1,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Al Barsha, Al Barsha, Dubai, United Arab Emirates",25.11557654,55.20380706
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Paramount Hotel Midtown,https://www.booking.com/hotel/ae/paramount-midtown.html,paramount-midtown,152.0,5.0239,152.0,0.0,40.0,5.0,8.8,5822,Standard,0.7,"Business Bay, Dubai",0,1,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Al Mustaqbal Street, Dubai, United Arab Emirates",25.19400631,55.26579463
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Address Montgomerie,https://www.booking.com/hotel/ae/the-montgomerie-dubai.html,the-montgomerie-dubai,217.0,5.3799,217.0,0.0,54.0,5.0,8.5,306,Very Good,18.1,"Emirates Hills, Dubai",0,0,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Emirates Hills PO Box 36700, Emirates Hills, Dubai, United Arab Emirates",25.06744406,55.16176075
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Riu Dubai Beach Resort - All Inclusive,https://www.booking.com/hotel/ae/riu-dubai-all-inclusive.html,riu-dubai-all-inclusive,241.0,5.4848,241.0,0.0,58.0,4.0,8.2,2891,Very Good,12.2,"Beach & Coast, Dubai (Beach & Coast)",0,0,0,0,0,0,1,0,None,Resort,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Deira Islands, Dubai, United Arab Emirates",25.30061198,55.30681006
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,SLS Dubai Hotel & Residences,https://www.booking.com/hotel/ae/sls-dubai-residences.html,sls-dubai-residences,257.0,5.5491,257.0,0.0,63.0,5.0,8.9,3711,Standard,2.3,"Business Bay, Dubai",0,1,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Marsi Drive Business Bay, Dubai, United Arab Emirates",25.18470411,55.29245079
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Vida Dubai Marina & Yacht Club,https://www.booking.com/hotel/ae/vida-dubai-marina-yacht-club.html,vida-dubai-marina-yacht-club,162.0,5.0876,162.0,0.0,41.0,4.0,9.3,3620,Wonderful,19.4,"Dubai Marina, Dubai (Sheikh Zayed Road)",0,1,0,0,0,0,1,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Al Hubob Street Dubai Marina, Dubai Marina, Dubai, United Arab Emirates",25.07226747,55.13586098
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Address Beach Resort,https://www.booking.com/hotel/ae/address-jumeirah-resort.html,address-jumeirah-resort,486.0,6.1862,486.0,0.0,115.0,5.0,9.4,3131,Wonderful,20.1,"Beach & Coast, Dubai (Beach & Coast)",0,1,0,0,1,0,1,0,None,Resort,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"The Walk Jumeirah Beach Residences, Dubai, United Arab Emirates",25.07234148,55.12672832
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Premier Inn Dubai International Airport - An Emirates Group Company,https://www.booking.com/hotel/ae/premier-inn-dubai-international-airport.html,premier-inn-dubai-international-airport,45.0,3.8067,45.0,0.0,13.0,3.0,8.7,22937,Standard,10.2,"Garhoud, Dubai",0,0,0,0,0,0,1,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"52B Street, Opposite Terminal 3, Garhoud, Dubai, United Arab Emirates",25.24310203,55.35890579
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Two Seasons Hotel & Apartments,https://www.booking.com/hotel/ae/gloria.html,gloria,130.0,4.8675,130.0,0.0,33.0,4.0,8.2,3239,Very Good,14.4,"Dubai Internet City, Dubai (Sheikh Zayed Road)",0,0,0,0,0,0,1,0,None,Apartment,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Sheikh Zayed Road, Dubai Internet City, Dubai, United Arab Emirates",25.10263619,55.17250299
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Millennium Place Mirdif Hotel,https://www.booking.com/hotel/ae/millennium-place-mirdif-dubai12345.html,millennium-place-mirdif-dubai12345,95.0,4.5539,95.0,0.0,27.0,4.0,8.4,3882,Very Good,17.3,Dubai,0,1,0,0,0,0,1,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"78th street Mirdif Hills, Dubai, United Arab Emirates",25.226125,55.441351
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,InterContinental Dubai Marina by IHG,https://www.booking.com/hotel/ae/intercontinental-dubai-marina.html,intercontinental-dubai-marina,179.0,5.1874,179.0,0.0,46.0,5.0,9.1,2063,Wonderful,18.8,"Dubai Marina, Dubai (Beach & Coast)",0,1,0,0,0,0,1,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Bay Central, Dubai Marina, Dubai Marina, 393080 Dubai, United Arab Emirates",25.078611,55.137779
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,MOUNT SINA HOTEL By AURA,https://www.booking.com/hotel/ae/mount-sina.html,mount-sina,27.0,3.2958,27.0,0.0,8.0,1.0,4.4,531,Standard,8.8,"Dubai Creek, Dubai (Deira)",0,0,0,0,0,0,1,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Al Sabkha Road, Dubai, United Arab Emirates",25.269223,55.30316502
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Premier Inn Dubai Investments Park - An Emirates Group Company,https://www.booking.com/hotel/ae/premier-inn-dubai-investments-park.html,premier-inn-dubai-investments-park,48.0,3.8712,48.0,0.0,14.0,3.0,8.4,3837,Very Good,23.8,"Dubai Investment Park, Dubai",0,0,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Dubai Investment Park, Dubai Investment Park, Dubai, United Arab Emirates",25.00816035,55.15673965
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,"Arabian Park Dubai, an Edge by Rotana Hotel",https://www.booking.com/hotel/ae/arabian-park.html,arabian-park,79.0,4.3694,79.0,0.0,20.0,3.0,8.7,3969,Standard,6.2,"Jadaf, Dubai (Bur Dubai)",0,1,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Al Jadaf Area, Oud Metha Road, Dubai, United Arab Emirates",25.22054229,55.32782704
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,FORTUNE ATRIUM HOTEL,https://www.booking.com/hotel/ae/fortune-atrium.html,fortune-atrium,59.0,4.0775,59.0,0.0,17.0,4.0,7.7,1194,Good,7.3,"Al Karama, Dubai (Bur Dubai)",0,0,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Khalid Bin Al Waleed Road Building No: 318-135, Dubai, United Arab Emirates",25.2500518,55.31190448
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,"Address Sky View, Downtown Dubai",https://www.booking.com/hotel/ae/address-sky-view.html,address-sky-view,486.0,6.1862,486.0,0.0,115.0,5.0,9.0,2982,Wonderful,0.8,"Downtown Dubai, Dubai (Sheikh Zayed Road)",0,0,0,0,1,0,1,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Sheikh Mohammed Bin Rashed Boulevard, P.O Box 111969 , Downtown Dubai, Dubai, United Arab Emirates",25.20181344,55.27066088
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Crowne Plaza Dubai Festival City,https://www.booking.com/hotel/ae/crowne-plaza-dubai-festival-city.html,crowne-plaza-dubai-festival-city,190.0,5.247,190.0,0.0,48.0,5.0,8.7,4933,Standard,8.3,"Dubai Festival City, Dubai (Dubai Creek)",0,0,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Po Box 7185 Dubai, Dubai Festival City, Dubai, United Arab Emirates",25.22394666,55.34933031
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Vida Creek Beach Hotel,https://www.booking.com/hotel/ae/vida-creek-beach.html,vida-creek-beach,184.0,5.2149,184.0,0.0,45.0,4.0,9.3,2253,Wonderful,7.8,"Dubai Creek, Dubai (Dubai Creek)",0,1,0,0,0,0,1,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Dubai Creek Harbour, Dubai, United Arab Emirates",25.20351755,55.34921197
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,C Central Hotel and Resort The Palm,https://www.booking.com/hotel/ae/c-central-resort.html,c-central-resort,142.0,4.9558,142.0,0.0,37.0,5.0,8.5,7042,Very Good,14.6,"Palm Jumeirah, Dubai (Beach & Coast)",0,1,1,0,0,0,1,0,None,Resort,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Palm Islands East Crescent Road, Palm Jumeirah, Dubai, United Arab Emirates",25.13920856,55.14147418
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Ibis Styles Dubai Jumeira,https://www.booking.com/hotel/ae/ibis-styles-dubai-jumeira.html,ibis-styles-dubai-jumeira,111.0,4.7095,111.0,0.0,28.0,3.0,7.7,3657,Good,5.0,"Beach & Coast, Dubai (Beach & Coast)",0,0,0,0,0,0,1,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"2nd December Street, Al Mina Road, Bur Dubai, Dubai, United Arab Emirates",25.24054844,55.27302602
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Landmark Grand Hotel,https://www.booking.com/hotel/ae/landmark-grand.html,landmark-grand,54.0,3.989,54.0,0.0,16.0,4.0,8.1,2229,Very Good,9.0,"Deira, Dubai (Deira)",0,0,0,0,0,0,1,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Al Riqqa Street, Opposite Al Ghurair Shopping mall, Dubai, United Arab Emirates",25.26556541,55.3170459
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Donatello Hotel,https://www.booking.com/hotel/ae/donatello-hotel-dubai.html,donatello-hotel-dubai,89.0,4.4886,89.0,0.0,28.0,4.0,8.3,2426,Very Good,11.9,"Al Barsha, Dubai (Sheikh Zayed Road)",0,1,0,0,0,0,1,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Al Barsha, Al Barsha, Dubai, United Arab Emirates",25.11550611,55.19390568
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Royal Falcon Hotel,https://www.booking.com/hotel/ae/royal-falcon-deira-dubai.html,royal-falcon-deira-dubai,47.0,3.8501,47.0,0.0,13.0,3.0,5.9,619,Standard,9.6,"Deira, Dubai (Deira)",0,1,0,0,0,0,1,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Salahuddin Street, Dubai, United Arab Emirates",25.27059848,55.3199172
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,Premier Inn Dubai Al Jaddaf - An Emirates Group Company,https://www.booking.com/hotel/ae/premier-inn-dubai-al-jaddaf.html,premier-inn-dubai-al-jaddaf,47.0,3.8501,47.0,0.0,10.0,3.0,8.3,8131,Very Good,6.6,"Jadaf, Dubai (Bur Dubai)",0,0,0,0,0,0,1,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Culture Village Al Jaddaf, Dubai, United Arab Emirates",25.22174627,55.33186997
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,"Th8 Palm Dubai Beach Resort, Vignette Collection by IHG",https://www.booking.com/hotel/ae/th8.html,th8,194.0,5.2679,194.0,0.0,49.0,5.0,8.4,2454,Very Good,18.5,"Palm Jumeirah, Dubai (Beach & Coast)",0,0,0,0,0,0,1,0,None,Resort,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"West Crescent, Palm Jumeirah, null Dubai, United Arab Emirates",25.11798448,55.10995055
Dubai,2026-10-03,2026-10-04,2026-09-03 10:26:40,29,1,"The First Collection Dubai Jumeirah Village Circle, a Tribute Portfolio Hotel",https://www.booking.com/hotel/ae/the-first-collection-jumeirah-village-dubai.html,the-first-collection-jumeirah-village-dubai,143.0,4.9628,143.0,0.0,36.0,4.0,8.6,5810,Standard,17.1,Dubai,0,1,0,0,0,0,1,0,None,Villa,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"JVC - Jumeirah Village - Dubai, Dubai, United Arab Emirates",25.05442924,55.20534023
